Trail_CODE,Name,Type,CODE,Title,FILENAME,DESCRIPTION,Column2
ALG,Arklow Loops Glenart Walk,,GWW1,Path 1,GWW1.jpg,,
ALG,Arklow Loops Glenart Walk,,GWW3,Glenart forest,GWW3.jpg,,
ALG,Arklow Loops Glenart Walk,,GWW5,Path 2,GWW5.jpg,,
ARK,Avoca Red Kite Loop,POI,RKW1,Forest Trail,RKW1.jpg,,
ARK,Avoca Red Kite Loop,POI,RKW2,Sign,RKW2.jpg,,
ARK,Avoca Red Kite Loop,POI,RKW3,Avoca Village,RKW3.jpg,,
ARK,Avoca Red Kite Loop,POI,RKW4,Forest Trail 2,RKW4.jpg,,
AFC,Avondale Forest Park - Centenary Trail,OTHER,AFC2,Avondale Viewing Tower,AFC2.jpg,,
AFC,Avondale Forest Park - Centenary Trail,COVER,AFC4,Avondale House,AFC4.jpg,,
AFC,Avondale Forest Park - Centenary Trail,OTHER,AFC5,Avondale Beyond the Trees,AFC5.jpg,,
AFC,Avondale Forest Park - Centenary Trail,OTHER,AFC6,Avondale Beyond the Trees,AFC6.jpg,,
AFC,Avondale Forest Park - Centenary Trail,OTHER,AFC7,Map,AFC7.jpg,,Changed to PDF
AFR,Avondale Forest Park - River Walk,,AV1,Bridge,AV1.jpeg,,
AFR,Avondale Forest Park - River Walk,,AV2,Forest,AV2.jpg,,
AFR,Avondale Forest Park - River Walk,,AV3,Tower,AV3.jpg,,
AFR,Avondale Forest Park - River Walk,,AV4,Tree Top Walk,AV4.jpg,,
AFR,Avondale Forest Park - River Walk,,AV5,Forest Park,AV5.jpg,,
BCL,Ballycumber Loop,COVER,BCL2,Track with Wall,BCL2.jpg,,
BCL,Ballycumber Loop,OTHER,BCL3,Track,BCL3.jpg,,
BCL,Ballycumber Loop,OTHER,BCL5,Map,BCL5.jpg,,Changed to PDF
BCL,Ballycumber Loop,SERV,BCL6,Tinahely,BCL6.jpg,,
BGW,Ballygannon - Green Walk,COVER,BGW1,Forest,BGW1.jpeg,,
BGW,Ballygannon - Green Walk,OTHER,BGW2,Black Stack,BGW2.jpg,,
BGW,Ballygannon - Green Walk,OTHER,BGW3,Forest track,BGW3.jpg,,
BGW,Ballygannon - Green Walk,OTHER,BRW4,Map,BRW4.jpg,,
BRW,Ballygannon - Red Walk,COVER,BRW1,Forest path,BRW1.jpg,,
BRW,Ballygannon - Red Walk,OTHER,BRW2,Trailhead Sign,BRW2.jpg,,
BRW,Ballygannon - Red Walk,OTHER,BRW4,Map,BRW4.jpg,,Changed to PDF
BGWT,Blessington Greenway Walking Trail,,BGWT1,Lake,BGWT1.jpg,,
