,Distance (km),Elevation (m)
0,0.0,4.0
1,0.0006729993589158785,4.0
2,0.0281047890551989,4.0
3,0.05369072008834094,3.6
4,0.08203971446089156,2.8
5,0.1201726461667384,2.3
6,0.1464828632456216,2.3
7,0.14715588102107893,2.3
8,0.16596905194392725,2.2
9,0.23424005364433204,2.0
10,0.2617462995810527,2.0
11,0.27690014930712953,2.0
12,0.28986839506493745,2.0
13,0.3009226031382889,2.1
14,0.3606314433665924,2.0
15,0.42886214544741463,1.6
16,0.6200904741300911,2.0
17,0.6743233401212468,1.9
18,0.7630840688857136,1.9
19,0.8566155842833819,2.7
20,0.8687034671785605,2.7
21,0.8762186648852036,2.9
22,0.8842683787652927,2.9
23,0.8914704088907097,3.0
24,0.8995947795275356,2.8
25,0.917864807876436,2.3
26,0.9280978734308275,2.1
27,0.9759733366415868,1.4
28,1.012183594785968,1.1
29,1.146883040043566,2.5
30,1.34722277345699,-0.4
31,1.3520641923511236,-0.4
32,1.3578945335366839,-0.2
33,1.4173033849432957,1.2
34,1.4358247480912893,1.5
35,1.5473492520013052,2.8
36,1.615610173681311,4.7
37,1.640642643361035,4.8
38,1.6809556062150321,3.8
39,1.7911112279535364,0.1
40,1.8100541069597327,0.6
41,1.8123620141136143,0.7
42,1.8362713414882768,1.3
43,1.872979856477809,2.0
44,1.9132946992646471,2.3
45,1.9619072337831296,2.1
46,2.008316709798315,1.8
47,2.0539166406390166,2.2
48,2.102036023266605,2.8
49,2.151767479852265,2.8
50,2.1913154061068805,2.5
51,2.231208520561536,2.4
52,2.2698686964106622,3.0
53,2.3178655437589764,3.5
54,2.3679047616005815,2.0
55,2.4177649087844753,1.8
56,2.4268746103417467,2.0
57,2.4618400736576467,2.6
58,2.4685770411546337,2.7
59,2.477333272653041,2.7
60,2.4820049524280114,2.7
61,2.4964868852815627,3.0
62,2.5331584611099345,3.1
63,2.5645697195334094,2.9
64,2.5694588225021926,2.9
65,2.646631723737722,3.2
66,2.6564417413204624,3.0
67,2.6835712971477355,2.8
68,2.699461098076224,3.6
69,2.734015230114501,4.7
70,2.7502715219506046,4.9
71,2.7513847168581,4.9
72,2.7777111065552926,5.0
73,2.8000324113080994,5.1
74,2.8319946852744033,4.9
75,2.8567701627588504,4.6
76,2.9030595037176337,4.2
77,2.9336699410119715,4.0
