TRAIL CODE,WALK_Name,SERV,Title,SubTitle,Latitude,Longitude,ProximityDistanceMeters,Body,DirectionsLink,Website,Colour,Triggered,Image,ImageId,TypeId,Active,Times,DaysOpened
BHL,Bray Head Loop Walk,1,Bray Head Cross,,53.1906,-6.0838,,Bray head cross sits at an elevation of 190m above sea level. The cross was erected in 1950 during the holy year. The walk to the summit of the cross takes between 30-40 minutes depending on which route you take.,,,,,,,,,,
ARK,Avoca Red Kite Loop,1,Avoca Village,,52.857338,-6.213063,,"Avoca (Irish: Abhóca) is a small town near Arklow, in County Wicklow, Ireland. It is situated on the River Avoca.  The Avoca area has been associated with its famous copper minesfor many years and the valley has been immortalised by Thomas Moore in the famous song The Meeting of the Waters. The name of the song derives from the meeting of the Avonmore and Avonbeg rivers, about two miles from the village of Avoca. The song is said to have been written under a tree, the stump of which remains by the Meetings.",,,,,,,,,,
ARK,Avoca Red Kite Loop,2,Kilmagig Woods,,52.85727,-6.20885,,This is a mixed woodland which provides the backdrop to the picturesque village of Avoca.,,,,,,,,,,
ARK,Avoca Red Kite Loop,3,St. Patricks Well,,52.85634,-6.20357,,St Patrick's Well,,,,,,,,,,
ARK,Avoca Red Kite Loop,4,Kilmagig Cemetery,,52.8559,-6.20289,,"Kilmagig Old Cemetery, or Cill Modhioga in Irish, is a rural graveyard located east of the ""Tidy Town"" village of Avoca in County Wicklow, Ireland. The cemetery can be reached via a dirt access road climbing uphill about half a mile from the entrance of the Cill Managig Forest Recreation Area. Road access and parking is limited.",,,,,,,,,,
DWT,Derrybawn Woodland Trail - Glendalough,1,Polanass Waterfall,,53.0033,-6.3455,,The Poulanass waterfall is a small but scenic waterfall near Glendalough upper lake (Wicklow county) in the Republic of Ireland.,,,,,,,,,,
DWT,Derrybawn Woodland Trail - Glendalough,2,Glendalough lower lake,,53.0088,-6.3355,,"Glendalough Lower Lake is a long, glacial lake in the valley of Glendalough in County Wicklow, This, the Lower Lake and Glendalough Upper Lake  are the two waters which gives the valley its name, Gleann Dá Loch ('Valley of Two Lakes').",,,,,,,,,,
DWT,Derrybawn Woodland Trail - Glendalough,3,Derrybaun Mountain,,52.9983,-6.3341,,"Derrybawn Mountain is a mountain summit in the region in the county of Wicklow, Ireland. Derrybawn Mountain is 474 metres high with a prominence of 31 metres. The summit can be identified by: Additional Notes: All the walks up Derrybawn Mountain on Mud and Routes can be seen above.",,,,,,,,,,
DWT,Derrybawn Woodland Trail - Glendalough,4,Glendalough Monastic Site,,53.0104,-6.32739,,"Glendalough is home to one of the most important monastic sites in Ireland. This early Christian monastic settlement was founded by St. Kevin in the 6th century and from this developed the “Monastic City”. Most of the buildings that survive today date from the 10th through 12th centuries. Despite attacks by Vikings over the years, Glendalough thrived as one of Ireland’s great ecclesiastical foundations and schools of learning until the Normans destroyed the monastery in 1214 A.D. and the dioceses of Glendalough and Dublin were united. Close to the monastic city is the interactive centre. The centre features an audio visual and has a model of the monastic site on display. You will be welcomed by a friendly and knowledgeable staff where all your questions will be answered.  Glendalough is one of the top attraction on Ireland’s Ancient East",,,,,,,,,,
DWT,Derrybawn Woodland Trail - Glendalough,5,Glendalough Round Tower,,53.0109,-6.32775,,"The most famous of all the landmarks in Glendalough is the Round Tower which stands 33 meters above the ground. It was built almost 1000 years ago by the monks of St. Kevin’s monastery. The conical roof had to be replaced in 1876 when it was struck by lightning. The towers were called “Cloigtheach”, meaning bell tower, suggesting their main use. The towers were sometimes used as a place of refuge for monks when the monastery was under attack. They also served both as lookout posts and as beacons for approaching monks and pilgrims.",,,,,,,,,,
